Date,Open,High,Low,Close,Adj Close,Volume
3/19/2008,14.875,17.25,13.75,14.125,11.18099,708486000
3/20/2008,14.6,16.25,14.375,16.0875,12.734454,198985200
3/24/2008,16.809999,16.924999,14.75,14.9325,11.820189,149566400
3/25/2008,15.145,16.0625,14.955,15.8125,12.516776,87092000
3/26/2008,15.6825,16.120001,15.3925,15.99,12.657281,43111600
3/27/2008,16.012501,16.184999,15.6625,15.7275,12.449492,39829600
3/28/2008,15.8425,15.86,15.54,15.69,12.419808,24675200
3/31/2008,15.65,15.87,15.5125,15.59,12.340645,22157200
4/1/2008,15.765,15.92,15.0775,15.4025,12.192228,60410800
4/2/2008,15.43,15.58,15.125,15.58,12.332732,43836400
4/3/2008,15.4875,16.5725,15.455,16.375,12.962034,100868000
4/4/2008,16.225,16.33,15.9375,16.120001,12.760186,36394400
4/7/2008,16.275,16.450001,16.004999,16.26,12.871004,28301600
4/8/2008,16.225,17.059999,16.202499,17.022499,13.474582,53925600
4/9/2008,17.110001,17.18,16.4025,16.4475,13.019423,48324400
4/10/2008,16.540001,16.682501,16.2775,16.5275,13.082752,22372000
4/11/2008,16.3125,16.692499,16.3125,16.5275,13.082752,26421600
4/14/2008,16.674999,16.809999,16.3825,16.42,12.997654,28443600
4/15/2008,16.5725,16.637501,16,16.0875,12.734454,23888000
4/16/2008,16.139999,16.737499,16.139999,16.535,13.088684,25136800
4/17/2008,16.565001,16.9375,16.502501,16.76,13.266796,22459600
4/18/2008,17.002501,17.612499,16.799999,17.25,13.654663,104099600
4/21/2008,17.370001,18.125,17.2125,17.7425,14.044516,58848000
4/22/2008,17.98,18.1,17.5,17.57,13.907967,47357600
4/23/2008,17.737499,17.924999,17.422501,17.52,13.868389,37319600
4/24/2008,17.799999,18.247499,17.51,18.075001,14.307714,38086800
4/25/2008,19,19.02,18.477501,18.775,14.86182,101460000
4/28/2008,19.125,19.3225,18.725,18.907499,14.9667,132517200
4/29/2008,18.5375,20.219999,17.75,20.219999,16.005636,197308400
4/30/2008,20.35,21.202499,20.2675,20.862499,16.514227,147543600
5/1/2008,21.0975,21.91,20.975,21.35,16.90012,116395600
5/2/2008,21.8225,21.875,20.25,20.6875,16.375708,136648800
5/5/2008,20.7125,21.375,20.205,21.264999,16.832834,70377200
5/6/2008,21.3675,22.0375,21.1875,21.8825,17.321636,75913200
5/7/2008,22.2075,22.459999,21.915001,22.125,17.513596,100464800
5/8/2008,22.375,22.4375,21.485001,21.825001,17.276119,92836400
5/9/2008,21.452499,21.6675,20.629999,20.715,16.39747,94312000
5/12/2008,20.9125,21.120001,19.525,20.475,16.207487,147471600
5/13/2008,20.4575,20.875,20.1975,20.594999,16.302481,53249600
5/14/2008,20.825001,21.0875,20.362499,20.557501,16.272797,51400400
5/15/2008,20.6325,20.7325,20.2775,20.5625,16.276751,36688800
5/16/2008,20.6775,20.7125,20.315001,20.592501,16.300495,34066800
5/19/2008,20.567499,21.184999,20.5375,20.83,16.488503,45473200
5/20/2008,20.719999,20.959999,20.477501,20.684999,16.373722,40702000
