Date,Open,High,Low,Close,Volume
1/2/2018,74.235,74.5,73.43,73.84,7296534
1/3/2018,74.3,76.8499,74.05,76.75,9945418
1/4/2018,77.33,77.9287,76.2599,76.73,8650007
1/5/2018,77.11,78.93,77.01,78.7,11822129
1/8/2018,78.7,79.18,77.773,79.05,7963556
1/9/2018,80.1,80.39,78.52,79.19,9620434
1/10/2018,78.5,79.485,77.7,79.37,6248619
1/11/2018,79.45,79.87,78.91,79.75,6267464
1/12/2018,80,80.77,79.66,80.54,6891095
1/16/2018,80.95,81.8,79.94,80.42,9596634
1/17/2018,80.4,82.61,79.96,82.47,7146923
1/18/2018,82.43,83.44,81.61,82.94,7395055
1/19/2018,83.23,84.19,83.1283,83.84,8783546
1/22/2018,84,84.21,83.22,83.98,7560451
1/23/2018,84.12,84.55,83.45,84.21,9736409
1/24/2018,84.52,85.29,82.71,83.71,8735746
1/25/2018,84,85.27,83.71,84.34,7268277
1/26/2018,84.46,85.49,84.04,85.45,7840318
1/29/2018,85.2,85.35,83.62,84.31,8198945
1/30/2018,83,84.17,82,83.78,7864528
1/31/2018,84.18,86.32,84.16,85.32,15221427
2/1/2018,79.95,80.95,76.7,78.4,44271646
2/2/2018,78.1,79.62,76.28,76.57,21979787
2/5/2018,75.95,78.98,74.68,74.705,18810638
2/6/2018,72.63,76.515,72.25,75.68,19739626
2/7/2018,75.35,77.58,74.94,75.59,11988019
2/8/2018,75.63,75.91,72.27,72.32,13665355
2/9/2018,73.14,75.27,71.63,74.75,14339365
2/12/2018,75.49,76.28,74.852,75.28,10419606
2/13/2018,74.81,75.6,74.55,74.97,7743645
2/14/2018,74.18,77.36,74.13,77.27,8955753
2/15/2018,78.01,78.3,76.58,78.295,9311008
2/16/2018,78.2,78.75,77.53,78.37,9758525
2/20/2018,77.7,78.54,76.66,77.06,6875391
2/21/2018,77.2,78.496,76.465,76.51,8260361
2/22/2018,76.8,78.37,76.77,77.7,6632292
2/23/2018,78.26,79.7,77.391,79.69,7520694
2/26/2018,80,80.05,78.98,79.35,7130682
2/27/2018,79.11,79.929,78.61,79.46,8861955
2/28/2018,79.9,82.17,79.39,79.41,10799506
3/1/2018,79.6,80.44,77.88,78.64,8443335
3/2/2018,77.52,79.11,76.93,78.87,9426242
3/5/2018,78.07,79.42,77.09,79.07,6652980
3/6/2018,79.33,79.95,78.85,79.23,7477760
3/7/2018,78.65,79.555,78.01,79.52,5546703
3/8/2018,79.85,80.49,79.53,79.87,6878581
3/9/2018,80.26,80.85,80.11,80.71,7667562
3/12/2018,80.75,81.17,80.35,80.6,6607596
3/13/2018,80.69,80.99,79.27,80.2,6414654
3/14/2018,80.74,83.5,80.64,83.31,14281118
3/15/2018,83.75,83.99,81.57,82.57,9850566
3/16/2018,82.8,83.23,81.27,82.16,8356179
3/19/2018,80.89,81.44,79.11,80.3,9028914
3/20/2018,80.18,81.19,80.0535,80.86,7388075
3/21/2018,80.94,82.35,80.51,81.04,6757190
3/22/2018,79.81,80.12,78.46,78.56,9608364
3/23/2018,78.5,79.06,76.35,76.44,9569050
3/26/2018,77.98,79.17,77.0301,78.95,8682648
3/27/2018,79.59,79.9,75.65,76.31,7980307
3/28/2018,75.7,76.75,74.74,75.06,14370325
3/29/2018,75.31,77.2,74.55,75.87,11064269
4/2/2018,75.23,76.3001,74.01,75,11417691
4/3/2018,75.28,75.41,73.35,74.56,8885973
4/4/2018,73,75.06,72.52,74.78,8230790
4/5/2018,75.59,77.82,75.48,76.95,10015717
4/6/2018,75.52,76.4,73.7,73.86,8179131
4/9/2018,74.6,76.88,74.6,75.19,7328434
4/10/2018,76.51,77.31,75.8003,76.79,6217464
4/11/2018,76.2,77.4,76.08,76.5,4581013
4/12/2018,76.8,77.99,76.61,77.46,5034799
4/13/2018,78,78.63,76.83,77.27,5909943
4/16/2018,77.88,78.5,77.19,77.8,5101377
4/17/2018,78.55,80.43,78.5,80.03,7135657
4/18/2018,80.1,80.89,79.32,80.34,5943689
4/19/2018,80.2,80.39,79.19,79.68,7122738
4/20/2018,79.22,79.87,78.3,78.73,6265267
4/23/2018,78.86,79.45,77.99,78.21,4038517
4/24/2018,78.9,79.4,75.08,75.28,9186611
4/25/2018,75.39,75.575,73.7,74,10940287
4/26/2018,76.32,77.62,75.49,76.03,13625287
4/27/2018,76.21,76.39,73.635,74.13,9794316
4/30/2018,74,75.019,73.69,74.61,9444449
5/1/2018,74.15,74.99,73.6,74.81,5660219
5/2/2018,75,75.71,71.21,71.73,17710747
5/3/2018,71.3,73.77,70.22,73.45,17310691
5/4/2018,73.19,74.44,72.23,73.99,7470794
5/7/2018,74.22,75.12,74.1,74.67,7583734
