Date,Open,High,Low,Close,Volume
7/6/2015,38,39.75,36,36.71,5866647
7/7/2015,37.72,37.81,36,36.62,7358964
7/8/2015,36.34,36.36,34.53,34.7,5387749
7/9/2015,35.1,35.5199,33.99,34.5,3760051
7/10/2015,34.66,35.19,33.9805,34.69,4472801
7/13/2015,35.59,37.5,35.5,36.78,7625994
7/14/2015,36.99,37.74,36.6,36.93,4653323
7/15/2015,37.98,38.2,37.03,37.51,13072783
7/16/2015,38.82,39.97,38.08,38.63,21348480
7/17/2015,39.42,40.2,38.18,38.39,45720240
7/20/2015,41.46,42.55,39.8,40.47,52286509
7/21/2015,41.08,41.11,39.12,39.35,32954573
7/22/2015,39.35,39.7178,38.1,38.39,25380859
7/23/2015,38.74,38.75,36.93,37.01,19250154
7/24/2015,37.71,38,36.91,37,14274305
7/27/2015,36.78,37.38,36.22,36.39,16179913
7/28/2015,37.19,38,36.8296,37.6,18986016
7/29/2015,38.03,38.1,37.62,37.95,11788439
7/30/2015,38.04,39.01,37.715,38.45,13845091
7/31/2015,39.14,39.2,38.2199,38.7,12480580
8/3/2015,39.25,39.88,38.9,39.39,15126574
8/4/2015,39.91,39.91,38.43,38.95,10992217
8/5/2015,39.7,39.88,39.17,39.27,9463128
8/6/2015,39.63,39.74,38.55,38.85,7324116
8/7/2015,39.04,39.23,38.6,39.13,8331310
8/10/2015,39.43,39.69,38.7701,39.05,7998929
8/11/2015,38.93,39.28,38.72,38.85,8184004
8/12/2015,38.55,38.58,37.01,38.19,21366670
8/13/2015,38.4,38.49,37.44,37.62,7863525
8/14/2015,37.49,38.18,37.38,38.14,6271143
8/17/2015,38.3,38.75,37.7,38.73,4931711
8/18/2015,39,39,37.87,37.99,4678847
8/19/2015,37.87,38.1,37.03,37.19,6923402
8/20/2015,36.85,37.34,35.88,35.98,10645667
8/21/2015,35.57,36.11,33.83,34.25,16824144
8/24/2015,31.17,34.85,30,33.75,19676580
8/25/2015,35.44,35.46,32.7,32.7,15557082
8/26/2015,33.7,33.84,31.71,33.17,25350364
8/27/2015,33.87,34.77,33.16,34.62,18909574
8/28/2015,34.51,35.26,34.37,35.04,8344820
8/31/2015,35.5,35.51,34.77,35,12123766
9/1/2015,34.15,34.68,33.41,33.77,13375959
9/2/2015,34.6,35.08,33.835,35.07,7521045
9/3/2015,35.01,35.46,34.77,35.31,6683814
9/4/2015,34.71,34.72,33.78,34.29,7483792
9/8/2015,34.81,34.89,34.25,34.7,7674452
9/9/2015,34.92,34.95,33.88,34.37,10946887
9/10/2015,34.23,34.29,32.95,33.46,12134501
9/11/2015,33.27,33.59,32.61,33.55,9184211
9/14/2015,33.7,33.95,33.2,33.77,7897681
9/15/2015,33.72,33.95,32.67,33.8,11874863
9/16/2015,33.46,34.06,33.36,33.77,7183907
9/17/2015,33.72,33.99,33.08,33.32,7846799
9/18/2015,32.9,33.78,32.55,32.92,16488139
9/21/2015,33.66,34.62,33.43,34.25,12736464
9/22/2015,33.94,34.1,33.1899,33.35,8538006
9/23/2015,33.49,34.34,33.26,34.16,5405501
9/24/2015,34,34.07,33.38,33.91,6544533
9/25/2015,34.6,34.69,33.5,33.77,6566750
9/28/2015,33.68,33.68,32.155,32.25,7407253
9/29/2015,32.27,32.67,30.3,30.63,12008145
9/30/2015,31.2,31.28,30.64,31.04,13672044
10/1/2015,30.82,31.587,30.75,31.48,9656980
10/2/2015,30.82,32.86,30.75,32.83,7609776
10/5/2015,32.95,33.02,32.38,32.67,6119068
10/6/2015,32.91,32.91,31.78,31.86,7443781
10/7/2015,32.31,32.471,31.52,32.38,6969581
10/8/2015,32.44,32.45,31.09,31.67,9281454
10/9/2015,31.69,32.45,31.41,32.06,5911405
10/12/2015,32.19,32.67,32.1,32.63,3915468
10/13/2015,32.6,33.48,32.3399,33.22,8787712
10/14/2015,33.4,34.46,33.4,34.05,8198250
10/15/2015,34.45,34.72,34.16,34.62,9103243
10/16/2015,34.75,35.05,33.95,34.29,5390718
10/19/2015,34.43,34.905,33.79,34.84,5855686
10/20/2015,34.8,34.99,34.59,34.87,6084245
10/21/2015,34.75,34.8,32.88,33.83,9113873
10/22/2015,34.43,35.25,34.26,34.79,8735516
10/23/2015,35.73,35.75,34.8,34.99,8909138
10/26/2015,36.05,36.59,35.515,36.44,11554647
10/27/2015,36.39,36.3941,35.31,35.94,8502406
10/28/2015,36.21,36.65,35.81,36.52,11634340
10/29/2015,34.73,36.5,34.5,35.91,25137251
10/30/2015,35.64,36.49,35.24,36.01,13409243
11/2/2015,35.58,37.41,35.45,36.99,11254928
11/3/2015,37.05,38.44,37,37.9,12025221
11/4/2015,38.45,38.52,37.33,37.6,12226757
11/5/2015,37.82,37.98,36.66,36.71,9068886
11/6/2015,36.59,36.7,35.8,36.24,10256842
11/9/2015,36.1,36.74,35.65,36.6,11571512
11/10/2015,36.58,37.2,36.5,37,36384428
11/11/2015,37.19,37.32,35.75,36.33,12762469
11/12/2015,35.945,36.05,34.83,35.57,11835858
11/13/2015,35.18,35.4999,34.5,34.53,7364367
11/16/2015,34.55,35.66,34.53,35.61,6734488
11/17/2015,35.89,36.45,35.71,36.21,7344945
11/18/2015,36.32,36.95,35.785,36.22,8323149
11/19/2015,36.45,36.5,35.91,36.19,5042281
11/20/2015,36.45,36.45,35.9202,36.36,4543444
11/23/2015,36.5,36.65,35.41,35.56,6960964
11/24/2015,35.25,35.3,34.88,35.12,8390058
11/25/2015,35.2,35.86,35.13,35.36,3882189
11/27/2015,35.52,35.7,35.06,35.18,2550193
11/30/2015,35.36,35.44,34.69,35.26,9357310
12/1/2015,35.41,35.41,33.85,35.17,14893927
12/2/2015,35.23,36.17,34.9301,35.15,5762384
12/3/2015,35.2,35.23,33.8501,34.23,7311905
12/4/2015,34.38,35.82,34.22,35.62,10664349
12/7/2015,35.71,35.8,34.85,35.16,4917953
12/8/2015,34.63,35.7,34.52,35.6,7420819
12/9/2015,35.39,35.6,34.83,35.07,7381669
12/10/2015,35.16,35.91,35.16,35.49,6949734
12/11/2015,35.15,35.3263,34.42,34.69,8309205
12/14/2015,34.61,35.2226,34.33,35.01,5803074
12/15/2015,35.19,36.51,35.18,36.32,11709851
12/16/2015,36.12,36.25,35.19,35.98,7076271
12/17/2015,36,36.58,35.51,35.54,6454069
12/18/2015,35.35,35.76,34.73,34.98,13745948
12/21/2015,35.21,36.15,35.11,36.08,5856044
12/22/2015,36.12,36.89,35.78,36.805,6030899
12/23/2015,36.79,37.68,36.77,37.11,7579531
12/24/2015,37.01,37.23,36.82,37.07,2133437
12/28/2015,36.7,37,36.25,36.61,4930147
12/29/2015,36.92,37.45,36.75,37.08,3436624
12/30/2015,37.07,37.25,36.46,36.48,4106713
12/31/2015,36.3,36.5,36.0508,36.2,4481936
1/4/2016,35.13,35.56,34.28,34.75,12287716
1/5/2016,34.98,34.98,33.86,34.31,11227717
1/6/2016,33.7,34.01,33.21,33.98,8441271
1/7/2016,33.15,34.161,33.02,33.13,11041083
1/8/2016,33.46,33.88,32.63,32.69,7848846
1/11/2016,33.02,33.43,32.47,33.04,8937358
1/12/2016,33.35,33.57,32.66,33.08,7853995
1/13/2016,33.28,33.57,31.97,32.12,8069449
1/14/2016,32.15,33.04,31.705,32.87,7749477
1/15/2016,31.62,32.54,31.62,32.31,12174356
1/19/2016,32.76,33.18,31.93,32.2,6674703
1/20/2016,31.43,31.7,30.52,31.2,13170588
1/21/2016,31.61,31.74,30.9,31.2,9978942
1/22/2016,31.65,31.97,31.54,31.69,9443981
1/25/2016,31.98,31.98,31.35,31.47,7591779
1/26/2016,31.49,31.98,31.39,31.97,8616958
1/27/2016,31.96,32.63,31.38,31.59,12711682
1/28/2016,33.63,34.75,33.35,34.24,20378569
1/29/2016,34.49,36.26,34.36,36.14,21201081
2/1/2016,35.65,37.32,35.59,37.08,17356043
2/2/2016,36.53,37.77,36.44,36.83,17310567
2/3/2016,36.87,37.55,36.07,37.01,14543103
2/4/2016,36.66,37.285,36.54,37.17,10212258
2/5/2016,37.16,37.16,34.82,35.07,16245837
2/8/2016,34,34.29,31.98,33.61,20628966
2/9/2016,32.8,33.858,31.64,32.7,16439154
2/10/2016,33.62,33.94,32.82,32.9,8636453
2/11/2016,32.12,33.64,32.01,33.52,13170076
2/12/2016,33.97,34.44,33.81,34.3,9437119
2/16/2016,34.65,35.52,34.48,35.46,9152381
2/17/2016,35.98,36.91,35.81,36.36,12070600
