Date,Open,High,Low,Close,Adj Close,Volume
10/3/2006,6.84,7.09,6.84,6.968,5.231559,16733000
10/4/2006,7,7.041,6.875,6.962,5.227053,13679000
10/5/2006,6.978,7.29,6.901,7.259,5.521415,25756000
10/6/2006,7.24,7.585,7.201,7.515,5.716139,35410000
10/9/2006,7.19,7.323,7.095,7.28,5.537392,37084000
10/10/2006,7.115,7.325,7.05,7.191,5.469696,26764000
10/11/2006,7.095,7.1,6.828,6.95,5.286382,35483000
10/12/2006,6.91,7.082,6.872,7.041,5.355599,15117000
10/13/2006,7.1,7.17,6.982,7.009,5.33126,11321000
10/16/2006,7,7.171,6.985,7.13,5.423296,8802000
10/17/2006,7.11,7.12,6.927,6.95,5.286382,9865000
10/18/2006,6.961,7.118,6.954,7.045,5.358643,8562000
10/19/2006,7.045,7.29,6.975,7.233,5.50164,13414000
10/20/2006,7.28,7.285,7.1,7.122,5.41721,5264000
10/23/2006,7.135,7.162,6.98,7.025,5.343429,7389000
10/24/2006,7.015,7.15,6.992,7.12,5.41569,8512000
10/25/2006,7.125,7.125,7.05,7.075,5.381461,11349000
10/26/2006,7.085,7.4,6.989,7.22,5.491752,21152000
10/27/2006,7.1,7.3,6.9,7.264,5.52522,26741000
10/30/2006,7.262,7.36,7.175,7.254,5.517614,17471000
10/31/2006,7.27,7.625,7.194,7.41,5.636272,35930000
11/1/2006,8.175,8.75,8.175,8.507,6.470685,141283000
11/2/2006,8.382,8.808,8.25,8.76,6.663126,62536000
11/3/2006,8.766,8.975,8.677,8.951,6.808405,42476000
11/6/2006,9,9.714,8.999,9.63,7.324873,97749000
11/7/2006,9.574,9.617,9.24,9.25,7.035831,71623000
11/8/2006,9.2,9.2,8.805,8.844,6.727018,64172000
11/9/2006,9.13,9.235,8.82,8.82,6.708762,62982000
11/10/2006,8.864,9.05,8.776,8.92,6.784822,27782000
11/13/2006,9.371,9.799,9.329,9.655,7.343889,114166000
11/14/2006,9.68,9.724,9.439,9.52,7.241203,38524000
11/15/2006,9.521,9.965,9.5,9.53,7.248808,56606000
11/16/2006,9.625,9.72,9.39,9.452,7.189477,35647000
11/17/2006,9.335,9.538,9.206,9.479,7.210015,28516000
11/20/2006,9.398,9.621,9.372,9.619,7.316503,22904000
11/21/2006,9.699,10.083,9.65,10.06,7.651941,59494000
11/22/2006,10.175,10.393,10.082,10.326,7.85427,42648000
11/24/2006,10.19,10.585,10.05,10.548,8.023133,21600000
11/27/2006,10.6,10.86,9.899,9.899,7.529482,73643000
11/28/2006,9.75,10.1,9.55,10.075,7.663356,61511000
11/29/2006,10.238,10.268,9.685,9.92,7.545452,48996000
11/30/2006,9.927,10.202,9.652,10.175,7.739417,41254000
12/1/2006,10.222,10.245,9.909,10.117,7.695297,35210000
12/4/2006,10.1,10.149,9.925,10.008,7.612391,20276000
12/5/2006,10,10.225,9.9,9.925,7.549258,21264000
12/6/2006,10.119,10.2,9.85,9.913,7.540132,30071000
12/7/2006,9.93,10.093,9.862,9.968,7.581967,21763000
12/8/2006,9.968,10.08,9.893,10.01,7.613912,15976000
12/11/2006,10.01,10.224,9.894,9.91,7.537848,30088000
12/12/2006,9.871,9.91,9.427,9.575,7.283034,46602000
12/13/2006,9.698,9.765,9.503,9.577,7.284556,18912000
12/14/2006,9.577,9.648,9.48,9.56,7.27163,24111000
12/15/2006,9.632,9.633,9.535,9.619,7.316503,14585000
12/18/2006,9.6,9.6,9.255,9.29,7.066257,26059000
12/19/2006,9.245,9.752,9.05,9.74,7.40854,31954000
12/20/2006,9.74,9.945,9.625,9.751,7.416907,28211000
12/21/2006,9.581,9.635,9.389,9.571,7.279997,31084000
12/22/2006,9.57,9.7,9.518,9.635,7.328675,13194000
12/26/2006,9.65,9.675,9.438,9.514,7.23664,10227000
12/27/2006,9.49,9.949,9.45,9.937,7.558387,19987000
12/28/2006,9.979,9.979,9.756,9.896,7.527199,22386000
12/29/2006,9.88,9.962,9.826,9.849,7.49145,10887000
1/3/2007,9.955,9.968,9.563,9.641,7.333238,26289000
1/4/2007,9.69,10.185,9.53,10.114,7.693017,27024000
1/5/2007,10.099,10.22,9.9,10.106,7.686932,29632000
1/8/2007,9.901,10.225,9.9,10.108,7.688452,16006000
1/9/2007,10.11,10.575,10.06,10.574,8.042907,36952000
1/10/2007,10.562,10.65,10.3,10.474,8.035238,35099000
1/11/2007,10.52,10.803,10.354,10.55,8.093539,37671000
1/12/2007,10.575,10.725,10.485,10.525,8.074363,18233000
1/16/2007,10.53,10.747,10.463,10.6,8.131897,18028000
1/17/2007,10.7,11.022,10.577,10.904,8.365118,45903000
1/18/2007,10.995,10.999,10.18,10.249,7.862624,42787000
1/19/2007,10.25,10.535,10.2,10.503,8.057482,30029000
1/22/2007,10.599,10.8,10.45,10.761,8.255411,21033000
1/23/2007,10.871,10.914,10.702,10.841,8.316784,21414000
1/24/2007,10.89,11.308,10.87,11.142,8.5477,31643000
1/25/2007,11.225,11.228,10.697,10.787,8.275355,21785000
1/26/2007,10.919,10.988,10.65,10.852,8.325224,17501000
1/29/2007,10.9,11.1,10.87,10.974,8.418817,12105000
1/30/2007,10.964,11.161,10.924,11.075,8.496297,11493000
1/31/2007,11.105,11.217,11.075,11.155,8.557673,13665000
2/1/2007,11.214,11.298,11.161,11.192,8.586056,16003000
2/2/2007,11.249,11.27,11.06,11.096,8.51241,11290000
2/5/2007,11.05,11.095,10.989,11.025,8.45794,9910000
2/6/2007,11.074,11.154,10.99,11.055,8.480957,10621000
2/7/2007,11.05,11.263,11.033,11.19,8.584523,21132000
2/8/2007,11.2,11.543,11.105,11.474,8.802395,37535000
2/9/2007,11.803,11.807,9.963,10.36,7.947784,282063000
2/12/2007,10.197,10.275,9.861,10.208,7.831172,82177000
2/13/2007,10.4,10.504,10.286,10.469,8.031399,73214000
2/14/2007,10.421,10.882,10.41,10.802,8.286861,49005000
2/15/2007,10.8,10.88,10.709,10.804,8.288399,34999000
2/16/2007,10.801,10.912,10.605,10.832,8.309879,20471000
2/20/2007,10.832,10.85,10.654,10.782,8.271521,19803000
2/21/2007,10.765,10.925,10.566,10.729,8.23086,20648000
2/22/2007,10.79,10.9,10.511,10.59,8.124228,21767000
2/23/2007,10.59,10.657,10.372,10.457,8.022193,30432000
2/26/2007,10.482,10.6,10.35,10.406,7.983071,11669000
2/27/2007,10.175,10.59,9.999,10.3,7.901748,51236000
2/28/2007,10.3,10.73,10.201,10.718,8.22242,35401000
3/1/2007,10.527,10.79,10.231,10.629,8.154144,38166000
3/2/2007,10.54,10.75,10.281,10.306,7.906353,18023000
3/5/2007,10.115,10.42,10.09,10.094,7.743716,29906000
3/6/2007,10.278,10.471,10.244,10.399,7.977698,31967000
3/7/2007,10.399,10.41,9.94,9.972,7.65012,51432000
3/8/2007,10.12,10.34,9.928,10.276,7.883343,63268000
3/9/2007,10.37,10.425,10.075,10.236,7.85265,34646000
3/12/2007,10.201,10.35,10.139,10.325,7.920928,20854000
3/13/2007,10.251,10.503,10.17,10.386,7.967727,46278000
3/14/2007,10.371,10.62,10.235,10.55,8.093539,35349000
3/15/2007,10.55,10.615,10.453,10.526,8.07513,19609000
3/16/2007,10.534,10.593,10.474,10.527,8.075892,15751000
3/19/2007,10.552,10.757,10.552,10.689,8.200177,23120000
3/20/2007,10.7,10.791,10.64,10.749,8.246202,16206000
3/21/2007,10.726,11.232,10.676,11.07,8.492459,38077000
3/22/2007,11.1,11.1,10.9,10.957,8.405772,13239000
3/23/2007,10.95,11,10.902,10.986,8.428021,6348000
3/26/2007,10.87,10.925,10.756,10.848,8.322152,17044000
3/27/2007,10.836,10.836,10.654,10.725,8.227795,14708000
3/28/2007,10.66,10.793,10.58,10.668,8.184065,14781000
3/29/2007,10.74,10.768,10.575,10.719,8.223189,7855000
3/30/2007,10.735,10.8,10.584,10.624,8.15031,7578000
4/2/2007,10.71,10.782,10.593,10.696,8.205543,17479000
4/3/2007,10.875,10.94,10.811,10.853,8.32599,15394000
4/4/2007,10.889,10.895,10.625,10.721,8.339988,19401000
4/5/2007,10.755,10.834,10.74,10.801,8.402227,5559000
4/9/2007,10.84,10.879,10.72,10.834,8.427896,6124000
4/10/2007,10.89,11.14,10.777,11.001,8.557807,26531000
4/11/2007,11.001,11.051,10.9,10.981,8.542247,11034000
4/12/2007,10.956,11.022,10.885,10.982,8.543027,7762000
4/13/2007,10.995,11.105,10.888,10.94,8.510355,7612000
4/16/2007,11,11.018,10.853,10.94,8.510355,12008000
4/17/2007,10.952,11.079,10.892,10.965,8.529801,9546000
4/18/2007,10.966,11.004,10.907,10.921,8.495576,8459000
4/19/2007,10.883,11.017,10.82,10.933,8.504906,6797000
4/20/2007,11.03,11.088,10.929,11.01,8.564807,11008000
4/23/2007,11,11.06,10.95,11.004,8.560139,13499000
4/24/2007,11,11.007,10.764,10.81,8.409227,11928000
4/25/2007,10.825,10.957,10.765,10.934,8.505689,10207000
4/26/2007,10.948,11.05,10.804,10.856,8.445008,9821000
4/27/2007,10.83,11.466,10.796,11.41,8.875975,43062000
4/30/2007,11.425,11.797,11.147,11.168,8.687718,38711000
5/1/2007,11.12,11.558,11.101,11.485,8.93432,34290000
5/2/2007,12.567,13.015,12.43,12.635,9.828916,160434000
5/3/2007,12.701,13.515,12.65,13.482,10.487806,84794000
5/4/2007,13.58,13.595,13.204,13.466,10.475361,44950000
5/7/2007,13.43,13.874,13.29,13.411,10.432575,44291000
5/8/2007,13.55,13.719,13.35,13.705,10.661281,32483000
5/9/2007,13.698,14.232,13.633,13.955,10.855758,41856000
5/10/2007,14.046,14.324,13.8,13.882,10.798974,49973000
5/11/2007,13.91,14.227,13.52,13.883,10.799748,59698000
5/14/2007,13.884,13.959,13.459,13.535,10.529032,39195000
5/15/2007,13.463,13.841,13.4,13.544,10.536035,23010000
